Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Agustín Moreto,,El lindo don Diego,2001,Los Veranos de la Villa,Juan Pedro del Aguilar,12 de junio de 2001,Los Veranos de la Villa,,,Juan Pedro de Aguilar,,"Fernando Conde, Antonio Vico, Pedro Valentín, Manuel Andrés, Cristina Goyanes, Eva Cobo, Felipe Jiménez, Encarna Gómez, Diego Pizarro y Diego Peire",,,,,,Los Veranos de la Villa,"Muralla Árabe de Madrid, Los Veranos de la Villa",
Agustín Moreto,,El lindo don Diego,2004,Morboria Teatro,Eva del Palacio,26 de marzo de 2004,Festival Internacional de Teatro Clásico de Almagro y Festival de Teatro Clásico de Olmedo,"Don Diego y don Mendo llegan a Madrid requeridos por Don Tello su tío, para tomar como esposas a sus primas doña Ines y doña Leonor.
Don Juan, enamorado de Inés se entera de los proyectos de don Tello de casar a su hija con su sobrino don Diego, un rival estúpido fanfarrón y petulante. Con la ayuda de Mosquita, su amiga y confidente tejen un enredo para que el Lindo rechace a doña Inés por emparentar con una rica condesa viuda, interpretada con maestría por el simpar Codorniz criado y transformista amigo de la pareja. La obra acaba con un final feliz con boda incluida, muy al gusto de la época, y un ridículo don Diego castigado y humillado ante toda la concurrencia.",https://www.morboria.com/espectaculos/el-lindo-diego/,Eva del Palacio,Miguel Brayda,"Félix Casales, Harold Zúñiga, Eva del Palacio, Ingrid López, Pedro Olivera, Malena Gutiérrez, Fernando Aguado, Diego Morales
Piano: Carlos Pérez Mántaras. Contrabajo: Javier Botella. 
",Guillermo Erice,Carlos Pérez Mántaras,,"Ana del Palacio, Fernando Aguado y Morboria",,Morboria S.L.,"Teatro Juan Bravo, Segovia",
Agustín Moreto,,El lindo don Diego,2005,Darek Teatro,Rafael Pérez Sierra,2005,,,,Denis Rafter,Pedro Moreno,"Fernando Conde, Alejandra Torray, Manuel Navarro, José Hervás, Adolfo Pastor, Luz Nicolás, Alicia Martínez, Carlos Urrutia, Ruth Salas, Marta Suárez y Judith Diakhate",Juan Gómez Cornejo,,,Pedro Moreno,,Darek Teatro,,
Agustín Moreto,,No puede ser el guardar a una mujer,2008,Apata Teatro,Jesús Laiz,2008,,"Moreto es un autor de aquellos mal llamados “menores”, que se encuadra en la escuela dramática de Pedro Calderón de la Barca. Destaca como un fino cincelador de caracteres, un gran observador y un maestro del diálogo gracioso, elegante e inteligente.
No puede ser el guardar una mujer es una comedia brillante, su ritmo vertiginoso y su destreza teatral la convierten en una de las mejores piezas de Moreto.
Cabe resaltar la importancia de sus personajes femeninos, transgresores, llenos de fuerza y cargados de razón, que aúnan la pasión y la condición intelectual dando cuerpo y voz al ideal moretiano frente a la terquedad, el engreimiento, la necedad y el machismo.
Con una versión ágil y atrevida que coquetea con el musical, un elenco de actores jóvenes pero experimentados y una talentosa y original puesta en escena que sitúa la acción en los años de nuestra Segunda República, Apata Teatro se lanza, una vez más, por el camino del riesgo.
Esperamos que disfruten con nuestra propuesta, y si no es así, no se lo cuenten a nadie.
",https://www.apatateatro.com/EspectaculoApataTeatro.aspx?tit=Nopuedeserelguardarunamujer&id=45000157,José Bornás,Alejandro Andújar,"David Lorente, Natalia Hernández, Antonio Villa, Jorge Basanta, Javier Mejía, Garbiñe Insausti, Carles Moreu y Marta Nieto Martínez",Óscar Sáinz Corada,Cristina Bernal,,Alejandro Andújar,Pilar Andújar Grech,Apata Teatro,,
Agustín Moreto,,No puede ser el guardar a una mujer,2009,Nacho Vilar Producciones,Jesús Laiz,2009,,,,José Bornás,Alejandro Andújar,"Antonio Zancada, Belén Boluda, Carles Moreu, David Llorente, Javier Mejía, Jorge Lasanta, Marta Nieto, Natalia Hernández",Óscar Sáinz Corada,Cristina Bernal,,Alejandro Andújar,Pilar Andújar Grech,Nacho Vilar Producciones,,
Agustín Moreto,,El lindo don Diego,2013,Compañía Nacional de Teatro Clásico (CNTC),Joaquín Hinojosa,19 de enero de 2013,Festival Internacional de Teatrio Clásico de Almagro,,https://teatroclasico.mcu.es/2010/09/02/el-lindo-don-diego-2013/,Carles Alfaro,Paco Azorín,"Edu Soto, Javivi Gil Valle, Raúl Prieto, Cristóbal Suárez, Rebeca Valls, Natalia Hernández, Carlos Chamarro, Vicenta Ndongo y Óscar de la Fuente",Pedro Yagüe,Pablo Salinas,,María Araujo,Fuensanta Morales,Compañía Nacional de Teatro Clásico (CNTC),"Teatro Pavón, Madrid",
Agustín Moreto,,De fuera vendrá; De fuera vendrá quien de casa nos echará,2014,Escarramá Teatro,Ángel Garcia Suárez,25 de julio de 2014,Festival Internacional de Teatro Clásico de Almagro,,,Ángel Garcia Suárez,Carlos Abad,"Alejandro Tous, Ruth Núñez, Helena Dueñas, Zorion Eguileor, Ángel García Suárez, Raquel Ramos, José Luis Matienzo y Alberto Muyo",Javier Martín del Río,Luis Andrés H. Ivars,Héctor Melgares,Carlos Abad,,Escarramán Teatro,Festival Internacional de Teatro Clásico de Almagro,
Agustín Moreto,,El lindo don Diego,2017,Morboria Teatro yCNTC,Eva del Palacio,4 de febrero de 2017,Festival de Teatro Clásico de Olmedo,,https://www.morboria.com/espectaculos/el-lindo-diego/,Eva del Palacio,Miguel Brayda y Trajano del Palacio,"Fernando Aguado, Eva del Palacio, Diego Morales, Virginia Sánchez, Silvana Navas, Eduardo Tovar, Vicente Aguado, Ana Belén Serrano, Jorge Corrales y Trajano del Palacio",Guillermo Erice,Miguel Barón,,"Ana del Palacio, Eva del Palacio",,"Morboria S.L.,  Compañía Nacional de Teatro Clásico (CNTC)","Teatro José María Rodero de Torrejón de Ardoz, Madrid",
Agustín Moreto,,De fuera vendrá quien de casa nos echará,2018,Morboria Teatro,Eva del Palacio,3 de febrero de 2018,Festival de Teatro Clásico de Olmedo,"Lisardo y el alférez Aguirre vuelven de la guerra de Flandes en la mas absoluta pobreza, su capitán les ha dado una carta de recomendación para entregar a su hermana Cecilia  en caso que tengan alguna necesidad.
Sirviéndose de un engaño se instalan en casa de  la viuda, que atiende la casa de su hermano y cuida de su sobrina Francisca. Surge el amor entre los jóvenes Lisardo y Francisca pero la señora Cecilia loca por contraer matrimonio también ha puesto los ojos en Lisandro y no le dejará escapar… Engaños, mentiras, celos, pasiones, desatadas…
Aparecen otros pretendientes solicitando la mano de Francisca, traición honor, urgencia… La historia se irá enredando con mas embustes, música y  teatro. los engaños y triquiñuelas se suceden hasta acabar con la celebración de una triple boda dejando a todos los amantes felices y contentos.
",https://www.morboria.com/espectaculos/de-fuera-vendra-quien-de-casa-nos-echara/,Eva del Palacio,Eva del Palacio y Fernando Aguado,"Fernando Aguado, Diego Morales, Eva del Palacio, Alejandra Lorente, Jorge Corrales, Ana Belén Serrano, Eduardo Tovar, Virginia Sánchez, Luna Aguado, Vicente Aguado y Trajano del Palacio
Intérpretes-cantantes: Virginia Sánchez, Alejandra Lorente y Diego Morales
Intérpretes-músicos: Milena Fuentes, Javier Monteagudo y Miguel Barón 
",Guillermo Erice,Milena Fuentes,,Morboria Teatro,Eva del Palacio,Morboria S.L.,"Teatro José María Rodero de Torrejón de Ardoz, Madrid",
Agustín Moreto,,El desdén con el desden,2019,JCNTC,Carolina África,12 de marzo de 2019,,"Son muchas las lagunas que acompañan a Agustín Moreto, autor de El desdén,
con el desdén o El lindo don Diego. Sabemos que nació en 1618, en el seno de una
familia de comerciantes italianos. Se licencia en artes en 1639, en la Universidad de
Alcalá, y comienza en el 42 su carrera eclesiástica. Las mediaciones económicas de su
padre, le proporcionan el beneficio de la iglesia de Santa María Magdalena en Mondéjar
(Toledo). En estos años comienza su carrera como dramaturgo.
En 1656 se traslada a Sevilla, donde vive uno de los pocos lances que alteraron
su apacible existencia: la disputa con unos vizcaínos. De regreso a Toledo, entra al
servicio del arzobispo don Baltasar de Moscoso y Sandoval, y trabaja en el hospital de
San Nicolás curando enfermos. Estas ocupaciones seguirán hasta su muerte en 1669.
Hombre sencillo y poco ambicioso, dejó escrito en su testamento que lo
enterrasen en el cementerio de los pobres y que sus escasos bienes se repartieran
entre los más necesitados. Es la suya una vida poco pródiga en lances y aventuras,
propia de un hombre mesurado, rasgo que se vislumbra en su producción teatral. Sin
embargo, en torno a su figura se ha trazado una leyenda que le atribuye disputas y
crímenes, como el de Baltasar Elisio de Medinilla, que murió cuando él sólo tenía dos
años, o que lo presentan como un lindo similar al de su célebre obra.
Existe cierto paralelismo entre la vida tranquila que llevó Moreto y el tipo de
teatro que escribió. La habilidad técnica, la soltura y la naturalidad en la versificación
son algunos de los rasgos propios de su obra. Aunque no falta la fantasía en piezas
como El lindo don Diego, No pued e ser el guardar a una mujer o la comedia de santos
San Franco de Sena, se le ha reprochado la falta de lirismo en la expresión de las
pasiones y la afectividad de los personajes, así como un cierto distanciamiento cómico
que busca la complicidad entre público y autor. Tampoco ha podido separarse su figura
del concepto de plagio o poca originalidad. Jerónimo de Cáncer y Velasco, coetáneo
del autor, llegó a decir que se dedicaba a saquear las obras de sus compañeros de
oficio. Además de las citadas, caben destacar El licenciado Vidriera , que poco tiene que
ver con el texto y el personaje cervantino, De fuera vendrá quien de casa nos echará,
El parecido en la corte, las piezas religiosas La adúltera penitente, Vida de San Alejo..
Fue uno de los autores más destacados de esa segunda generación de
dramaturgos, que comienzan a escribir cuando Calderón ya ha producido sus grandes
piezas y la fórmula de la comedia nueva se ha ido complicando en enredo y
culteranismo. La construcción rigurosa de la arquitectura teatral, el gusto por la
caricatura del figurón y el lenguaje gongorino acompañaron a Moreto a lo largo de su
carrera dramática y fueron, quizás, los únicos excesos que se permitió vivir.",,Iñaki Rikarte,Mónica Boromello,"Juan de Vera Martín, Mariano Estudillo, José Luis Verguizas, Pau Quero Muñoz, Nicolás Illoro, Aisa Pérez, Antea Rodríguez, Alba Recondo, Irene Serrano y Paco Rojas",Felipe Ramos,Luis Miguel Cobo,,Ikerme Giménez,,JCNTC,"Teatro de la Comedia, Madrid",
Agustín Moreto,,El lindo don Diego,2019,Compañia Argentina de Teatro Clásico,Santiago Doria,19 de julio de 2019,Festival Internacional de Teatro Clásico de Almagro,,,Santiago Doria,,"Gabriel Virtuoso, Andrés D'Adamo, Mónica D'Agostino, Ana Yovino, Pablo Di Felice, Irene Almus, Francisco Pesqueira y Gastón Ares",Sebastián Ochoa y Horacio Novelle,Gerardo Gardelín,,Maydée Arigós,,Compañia Argentina de Teatro Clásico,Festival Internacional de Teatro Clásico de Almagro,
Agustín Moreto,,No puede ser el guardar a una mujer,2019,Corrales de Comedias Teatro,Ernesto de Diego,2019,,,,Antonio León,Ernesto de Diego,"Covadonga Calderón, Daniel Moncada, Félix Espinosa, Elena Alcaide, Vicente Nove, Antonio León, Norton Palacios y Rocío Sobrino",Huberto Morales y Jacinto Díaz,,,Susana Moreno,,Corrales de Comedias Teatro,,
Calderón de la Barca,, La vida es sueño,2000, Producciones Inconstantes, Emilio del Valle, 30 de marzo de 2000,," Después de leer tantas páginas en torno a la obra de Calderón, finalmente, lo que más nos ha interesado es la histora de ese chaval que fue encerrado por su padre el mismo día que nació. Partiendo de este hecho insólito y profundamente injusto, vertebramos la apasionante aventura de Segismundo en busca de suderecho a la libertad. El texto se ha ajustado a esta trama. Los personajes giran alrededor de la mentira que sostiene a Segismundo, bien príncipe, bien reo. Su camino hacia la libertad es paralelo al reconocimiento de su soledad y al descubrimiento de que, finalmente, tal vez la vida no es sueño. Esta duda la hemos de reflexionar cada uno de nosotros, participantes o espectadores.",, Emilio del Valle, Emilio del Valle Y Paco Ramírez," Chema de Miguel Bilbao, Janfri Topera, Carolina Solas, Chete Guzmán, Amaia Lizarralde, Jesús Pérez Gil, Miguel Prieto, Emilio del Valle, Jorge Horno", Pablo Marquina, Montserrat Muñoz,, Jorge Horno, Carolina Solas, Producciones Inconstantes, Teatro Principal de Burgos,
Calderón de la Barca,,La vida es sueño,2000,Teatro Español Salesiano de Ronda,José María Ortega de la Cruz,4 de mayo del 2000,Festival de Música y Teatro Sacro y Ritual de Riogordo,, ,José María Ortega de la Cruz,,"Antonio Becerra Becerra, Auxiliadora Madrid Maqueda, Pablo Jiménez de Prieto, Vicente Ramírez García, José María Jiménez Ponce, Juan Carretero García, María José Zarzavilla Benítez, José Luis Sánchez González, Manuel Barea Márquez y José Mª Tornay Ruiz",,,,,,Teatro Español Salesiano de Ronda,La nave del teatro de Riogordo,
Calderón de la Barca,,Los entremeses,2000,La Garnacha,José Antonio Raynaud,13 de enero del 2000,,, ,José Antonio Raynaud,José Antonio Raynaud,"Juan Carrillo, Lola Cordero, Darío Galo, Mar Herrera, Alfonso Mantis, Oren Moreno, Íñigo Núñez, Carmen Puerta y Gema Trujillo",,Ignacio Delgado,,Lola Fernández Cáceres,,La Garnacha,Teatro de Sevilla,
Calderón de la Barca,,Las mañanas de abril,2000,Andrea D'Odorico Producciones,Miguel Narros,4 de octubre del 2000,,"Mañanas de abril y mayo es una graciosa comedia, síntesis de numerosos elementos, por lo que campea esta vez la serena y aun regocijada alegría. Parece como si el optimismo de las mañanas primaverales hubiera quedado prendido en la bulliciosa obra capaz siempre de una nueva sorpresa y de una última confusión. Ante la arboleda de los jardines de la Floria de los galanteos adquieren una nueva dimensión, y una sana cordialidad invade los diálogos y las escenas. Se han olvidado las ásperas reflexiones. Las damas se colocan su embozo y pasean por el parque luciendo su garbo. Los galanes ansían conocerlas y hallan el encanto mágico de la aventura. Entre geométricos jardines y tapices de flores la dama coquetea habiendo perdido la preocupación de la responsabilidad.", ,,Andrea D'Odorico,,Juan Gómez-Cornejo,Fernando Palacios,,"Juana Batanero, Cornejo",,Andrea D'Odorico Producciones,"Teatro Villamarta de Jerez de la Frontera, Cádiz",
Calderón de la Barca,, La vida es sueño,2000,Compañía Nacional de Teatro Clásico (CNTC), Calixto Bieito, 27 de marzo de 2000,,, , Calixto Bieito," Calixto Bieito, Carles Pujol"," Nuria Gallardo, Boris Ruiz, Joaquín Notario, Miquel Gelabert, Ángels Bassas, Roger Coma, Carlos Álvarez, Víctor Rubio, David Martínez", Xavier Clot, ,,Mercè Paloma,,Compañía Nacional de Teatro Clásico (CNTC), Teatre Romea de Barcelona,
Calderón de la Barca,, La dama duende,2000,Compañía Nacional de Teatro Clásico (CNTC), José Luis Alonso de Santos, 14 de abril de 2000,,, , José Luis Alonso de Santos, Llorenç Corbella," Enrique Simón, Alfonso Lara, Lola Baldrich, Cecilia Solaguren, Pedro Casablanc, Pablo Rivero, Débora Izaguirre, Gonzalo Gonzalo, Sonia Sánchez, Lola Acosta, Cristina Morella, Carmen Tejedera", Josep Solbes, Javier Alejano,,Llorenç Corbella,Mª José Ruiz,Compañía Nacional de Teatro Clásico (CNTC),Teatro Salón Cervantes de Alcalá de Henares,
Calderón de la Barca,, La cena del rey Baltasar,2000, Alcantarilla Teatro, Luis Dorrego, 23 de junio de 2000,, , , Luis Dorrego, Víctor Navarro,"Felipe Andrés, Carmelo Alonso, Marta Gutiérrez, Antxón Jiménez, Lidia Navarro, Carmen Jabonero, Carlos Chacón y Camilo González", Antonio Mateos, Amaro González,, , , Alcantarilla Teatro, Patio de Santo Tomás de Villanueva de la Universidad Cisneriana de Alcalá,
Calderón de la Barca,, IV Centenario del nacimiento de Calderón de la Barca,2000,Compañía Nacional de Teatro Clásico (CNTC), , 17 de enero de 2000,, ,, , ,Mª Jesús Valdés y Pepe Martín, , ,, , ,Compañía Nacional de Teatro Clásico (CNTC), Teatro de la Comedia de Madrid,
Calderón de la Barca,, En la voz también hay dicha: contando a Calderón,2000, Ernesto Rodríguez Abad, Ernesto Rodríguez Abad, 19 de marzo de 2000,,,, Ernesto Rodríguez Abad, , Ernesto Rodríguez Abad, Pablo Cebrián,César Martín y Gregorio Machín,, , , Ernesto Rodríguez Abad, Teatro Apolo de Almería,
Calderón de la Barca,, El mayor tesoro escondido,2000, La Luna Teatro, Ricardo Pereira, 16 de marzo de 2000,, ,, Ricardo Pereira, Pepe Melero,"Juan Ignacio Moreno, Azucena Roda, Jos Martínez, Pablo Blanco, Gloria Ollero, José Luis Guajardo, Jorge Domenech, Roberto Zarzosa, Miguel Pardo, Álvaro Miranda, Rubén Meldaña y Marisa León", , Carlos Baquero,,Roberto Zarzosa,, La Luna Teatro, Teatro Principal de Zaragoza,
Calderón de la Barca,, El príncipe constante,2000, Companhia de Teatro de Almada, Jorge Listopad, , , ,, Jorge Listopad, , , , ,, , , Companhia de Teatro de Almada, ,
Calderón de la Barca,, El monstruo de los jardines,2000, RESAD, Juan Mayorga, 10 de julio de 2000,,,, Ernesto Caballero, Gerardo Trotti,"Nerea Moreno, Javier Mejía, Cristina Pons, Olivia Martín, Natalia Hernández, Vicente Colomar, Antonio Peregrín, Montse Muñoz, Juan Olivares, Ángel Velasco, Esther Acevedo, Elvira Cuadrupani, Ruth Díaz, Belén Guerra, Maribel Vitar e Inge Martín", Miguel Ángel Camacho, Ángel Botia,,Elisa Sanz,Esther Acevedo, RESAD, Teatro Municipal de Almagro,
Calderón de la Barca,," El mayor hechizo, amor",2000, Teatro Corsario, Fernando Urdiales, 28 de abril de 2000,, ,, Fernando Urdiales," Fernando Font, Fernando Urdiales","Rosa Manzano, Jesús Peña, Pedro Vergara, Blanca Herrera, Javier Juárez, Francisco González, Óscar García, Javier Semprún, Borja Semprún, Carmen González, Susana Andrés, Carmen Gañán y Teresa Lázaro", Jesús Lázaro, Juan Carlos Martín,,Olga Mansilla,, Teatro Corsario, Teatro Calderón de la Barca de Valladolid,
Calderón de la Barca,, El mágico prodigioso,2000, Fila Siete, Emilio González Déniz, 1 de octubre de 2000,, ,, Daniel Bohr," Gonzalo González, Rafael Garrigós","Alfredo Alba, Ramiro Alonso, Miguel Foronda, José Luis Madariaga, Manuel Navarro, Francisco Paredes, Helio Pedregal, Blanca Rodríguez, José María Rueda, Isabel Serrano y Cristóbal Suárez", Rafael Echeverz, Manuel González,,Rafael Garrigós,, Fila Siete,Teatro Guimerá de Santa Cruz de Tenerife,
Calderón de la Barca,, El gran teatro del mundo,2000, Lebrel Blanco, Valentín Redín, 15 de diciembre de 2000,, ,, Valentín Redín, Manuel Almagro,"Manuel Monje, Javier Baigorri, Mikel Aguirre, Sagrario Domeño, Marta Juániz, Laura Ridruejo, Fernando Eugui, Eduardo Simón, Jesús Idoate, Iker Aguirre, Chon Marcotegui, José Antonio Tomás e Iván Madrazo", , Jesús Elso,, Pilar Munárriz,, Lebrel Blanco, Iglesia de Santa María de Tafalla (Navarra),
Calderón de la Barca,, El galán fantasma,2000, Teatro Sanpol, Ana María Boudeguer, 24 de julio de 2000,,,, Ana María Boudeguer, Pablo Almeida,"Quim Capdevilla, Gonzalo Buznego, Fernando Santos Santos, Belén González, Natalia Jara, Georgina Cort, Jesús Alcaide, Pedro Segura y Jesús Mª Barreda", Nicolás Fischtel, ,, , , Teatro Sanpol, Patio de Fúcares de Almagro,
Calderón de la Barca,, El galán fantasma,2000, Veranos de la Villa, David Bello, 11 de julio de 2000,,,, David Bello, ,"Carmen Morales, Eva Cobo, Antonio Vico, Pedro Valentín, Felipe Jiménez, Francisco Piquer, Francisco Lahoz, Francisco Paredes, Ana Escribano y Paloma Paso Jardiel.", , ,, , , Veranos de la Villa, Parque Emir Mohamed I de Madrid,
Calderón de la Barca,,El alcalde de Zalamea,2000,Compañía Nacional de Teatro Clásico (CNTC),Sergi Belbel,21 de septiembre de 2000,,,,Sergi Belbel,José Manuel Castanheira,"Raúl Pazos, Jordi Dauder, Òscar Rabadan, Paul Berrondo, Pepe Viyuela, Clara Segura, Roberto Quintana, Fermí Casado, Carmen del Valle, Mònica Aybar, José Luis Santos, Camilo Rodríguez, Manuel Veiga, Pere Ventura, Isaac Alcayde, Joan Artés, Nestor Busquets, Marc Elias y Òscar Moles.",Quico Gutiérrez,,,Mercè Paloma,,Compañía Nacional de Teatro Clásico (CNTC),Teatre Nacional de Catalunya de Barcelona,
Calderón de la Barca,, El alcalde de Zalamea,2000, Compañía Francisco Portes, Enrique Llovet, 30 de septiembre de 2000,, ,, Francisco Portes, Lorenzo Collado," Yolanda Diego, Fernando Santos Santos, Adolfo Pastor, Teresa Cortés, Carlos Torrente, Salvador Bueso, Francisco Portes, Esperanza Lemos, Servando Caballar, Sergio de Frutos, Pablo Isasi", Lorenzo Collado, José Carlos Domínguez,, Lorenzo Collado,R. Prieto, Compañía Francisco Portes,"Teatro José María Rodero de Torrejón de Ardoz (Madrid)
",
Calderón de la Barca,, Celos aun del aire matan,2000, Teatro Real, Pier Luigi Pizzi, 4 de octubre de 2000,, ,, Pier Luigi Pizzi, Pier Luigi Pizzi,"Ángeles Blancas, Marisa Martins, Giuseppe Filianoti, Agustín Prunell-Friend, Darina Takova, María Mendizábal, Juanita Lascarro, Verónica Cangemi, Carlo Lepore, José Julián Frontal, Emilio Sánchez, José Antonio Carril, Olga Pitarch, Soledad Cardoso, Gloriana Casero, Philippe Jaroussky y Toni Gubau Bosch", Sergio Rossi, Juan Hidalgo,, Pier Luigi Pizzi,Deda Cristina Colonna, Teatro Real, Teatro Real de Madrid,
Calderón de la Barca,, Céfalo y Pocris,2000, Teatro Guirigai, Agustín Iglesias, 10 de marzo de 2000,, ,, Agustín Iglesias," Jaime Gil, Escala 7, Serie Gráfica"," Magda García Arenal, Lola Palomares, Raquel Abella, Paco Carrillo, Agustín Iglesias, Lino Ferreira, Juan Manuel Molina y Pepe Pulido.", , ,,Cristina Victoria García-Guerrero,, Teatro Guirigai, Centro Cultural Galileo (Madrid),
Calderón de la Barca,,Súbete a la barca de Calderón,2000,Estudio de Teatro,Stella Manaut,,,"Súbete a la barca de Calderón y navega con nosotros por comedias, sainetes, jacaras y mojigangas, llevando a bordo el amor como invitado de honor. Celos, amores posbles, amores imposibles, el amor en la cocina, la mujer como moneda de cambio… ¿otros tiempos? ¿Otras costumbres? y, como compañera se singladuras: la guitarra",,Stella Manaut,,"Stella Manaut, Eugenio Gonzalo",,Eugenio Gonzalo,,Clara Roca,,Estudio de Teatro,,
Calderón de la Barca,," Calderón, ¿enamorado?",2000, Zampanó Teatro," Amaya Curieses, José Maya", 17 de marzo de 2000,Jornadas de Siglo de Oro,"Es, en resumen, una historia de amor protagonizada por Don Pedro, que aunque nunca ocurrió, pudo haber ocurrido y a través de ella, el espectador conocerá un poco más y un poco mejor a quien a demás de escribir ""La Vida es Sueño"", supo hacernos soñar, suspirar, reír y pensar como nadie",," Amaya Curieses, José Maya","Equipo ""Brazo Doble""", ,José Miguel López Sáez,Torrejón de Velasco,,Margarita Iriarte, , Zampanó Teatro, Auditorio Maestro Padilla de Almería,
Calderón de la Barca,,Sexismunda,2001,Sabarela,"Begoña Muñoz, Fina Calleja y Ánxeles Cuña Bóveda",26 de octubre de 2001,,,,Áxeles Cuña Bóveda,,"Elena Seijo, Fina Calleja, Fernando D'Acosta, José A. Porto (Josito), Sabela Gago, Tito R. Asorey y Suso Díaz",,,,,,Sarabela,Teatro Rosalía de Castro de A Coruña,
Calderón de la Barca,,Paraules… senzillament paraules,2001,Orfeó Badaloní. Centre Parroquial de Sant Josep,Xavier Ricart,17 de marzo de 2001,,,,Xavier Ricart,,"Àlex Canals, Araceli Comas, Marta García, Francisco García, Francesc López, Neus Pasqual y Montse Rodríguez",,,,,,Orfeó Badaloní. Centre Parroquial de Sant Josep,entre Parroquial Sant Josep de Badalona (Barcelona),
Calderón de la Barca,, La vida es sueño,2001,Teatro del Contrajuego,Orlando Atocha, , , ,, Orlando Atocha, , , , ,, , , , Teatro del Contrajuego, 
Calderón de la Barca,, La vida es sueño,2001, Teatro Escuela Libre de Alcalá (T.E.L.A.), Miguel Ángel Ontanaya, 2 de junio de 2001, , ,, Paz Carrero Eras, ,"David Sánchez, Noelia Santander, José L. Sanz, Miguel Ángel Ontanaya, Luis San José, Estefanía Palacios, Tatiana Scheur, Sandra Aguilar, Álvaro Villalvilla, Carmen Nieto, Diego Díaz, Antonio Domínguez Albarrán, Enrique Sánchez, Libertad Liñán, Noemi Sánchez, Lucía Perlado, Alicia Carabaña, Abel Carrasco, Héctor F. Pascual, Alberto Barbero, Diego Nieto, Beatriz Carrasco, Mariano Rodríguez, Carmina Sánchez y Laura Rodríguez.", Miguel Ángel Ontanaya, ,, , , Teatro Escuela Libre de Alcalá (T.E.L.A.),Patio Santo Tomás de Villanueva de Alcalá de Henares (Madrid),
Calderón de la Barca,, La nave de los locos,2001, Teatro de Encargo, Luis Dorrego, , , ,, Luis Dorrego, ,"Carmen Jabonero, Lidia Navarro, Carmelo Alonso, Felipe Andrés, Camilo González y Ángel Fragua", , ,,Teatro de Encargo, , Teatro de Encargo, ,
Calderón de la Barca,, Fieras afemina amor,2001, Juan Pedro Aguilar, Juan Pedro Aguilar, , ,"Esta es la historia de Hércules que, amando la gloria del triunfo de los trabajos más esforzados, odiaba el amor de las mujeres. Por esto Venus y Cupido se vengarán de él con un castigo ejemplar e increíble, hiriéndole con las flechas del Amor y sirviéndose de Yole, la mujer más seductora de aquella era de prodigios, mosntruos, encantamientos, dioses y semidioses",, Juan Pedro de Aguilar, Juan de París y Lupe Estévez,"Antonio José Caballero, Calixto Gutiérrez, Francisco Sánchez, Luis Alberto Giner, Juan Pedro de Aguilar, Belén López, Miguel Faura, Amalia Hornero, Ainhoa Zuazua, Lilí Pereiro, Marta Malone, Teresa Pámpano, Susana Casas", Nicolás Fishtel, Félix Sierra,,Lupe Estévez,,Milanese,, 
Calderón de la Barca,, El gran teatro del mundo,2001, Grup Tragapinyols, , 8 de marzo de 2001, , ,, , , , , ,, , , , Auditori Municipal de Vinarós (Castellón),
Calderón de la Barca,, El dragoncillo,2001, Alcantarilla Teatro, , 22 de agosto de 2001, , ,, , , , , ,, , , , Hospital de Antezana de Alcalá de Henares (Madrid),
Calderón de la Barca,,"Desventuras y andanzas de Villegas y Quiñones, cuando en el siglo XVII se hacían calderones; Desventuras y andanzas de Villagas y Quiñones cuando en el XVII se hacían Calderones",2001, Producciones Nun Tris, Eduardo Usillos, 16 de febrero de 2001, , ,, Eduardo Usillos, ,"Mayra Fernández, Inma Rodríguez, Ana Díaz Morán, Alberto Lamora y Antonio Caamaño", , ,, Azucena Bedia, , Producciones Nun Tris, Teatro Palacio Valdés de Avilés (Asturias),
Calderón de la Barca,,Casa con dos puertas mala es de guardar,2001, Corral de Comedias Teatro (C + C)," Nacho Sánchez, Ernesto de Diego", 3 de marzo 2001, , ,, Antonio León, ," Norton P., Braulio Blanca, Nacho Sánchez, Nieves Carrión, Covadonga Calderón, Almudena S. Pascual, Pilar Pliego, Ramón Sánchez-Pastor", , ,, Ana Serrano, , Corral de Comedias Teatro (C + C)," Corral de Comedias de Almagro, Ciudad Real",
Calderón de la Barca,, La vida es sueño,2002, Ksec Act, Yoichi Tajiri, , , ,, Kei Jinguji, , , , ,, , , , Ksec Act, 
Calderón de la Barca,, Entremeses variados,2002, Compañía Benamate, , 4 de enero de 2002, , ,, Jesús Amate," Juan Sanz, Miguel Ángel Coso"," Jesús Amate, Natalie Pinot, Beatrice Binotti", Isabel Pérez, Eliseo Parra,, , Pedro Salgado, , Compañía Benamate, Sala Ensayo 100 de Madrid
